"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 13 00:49:32 GMT 2022","Sun Nov 13 00:49:32 GMT 2022","0","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestTwo","simpleTestTwo",""
"passed","Sun Nov 13 00:49:31 GMT 2022","Sun Nov 13 00:49:31 GMT 2022","17","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestOne","simpleTestOne",""
