"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 13 00:26:18 GMT 2022","Sun Nov 13 00:26:18 GMT 2022","31","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestOne","simpleTestOne",""
"passed","Sun Nov 13 00:26:18 GMT 2022","Sun Nov 13 00:26:18 GMT 2022","0","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestTwo","simpleTestTwo",""
